rest,type,address,address_info,number,site,info,img_url,Mon,Tue,Wen,Thu,Fri,Sat,Sun,lat,lng
붕호땅,종합분식,경남 진주시 개양로 67 . 상가 115동 107호,찾아가는길진주시 개양로 67 프리미어웰가 상가 107호 붕호땅내용 더보기,0507-1421-9455,,"예약, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230827_114%2F1693120953368FcneO_JPEG%2F20230211_121453.jpg,월정기휴무 (매주 월요일),"화09:00 - 19:30
19:00 라스트오더","수09:00 - 19:30
19:00 라스트오더","목09:00 - 19:30
19:00 라스트오더",금정기휴무 (매주 금요일),"토09:00 - 19:30
19:00 라스트오더","일09:00 - 19:30
19:00 라스트오더",35.1559336,128.113118
텐퍼센트커피 진주가좌점,카페,경남 진주시 진주역로73번길 33,,070-8874-2926,https://www.instagram.com/tenpercent.coffee,"포장, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230103_126%2F16727063253642EkTe_JPEG%2F12%25BF%25F9_28%25C0%25CF_%25C1%25F8%25C1%25D6%25B0%25A1%25C1%25C2%25C1%25A1.jpg,"매일08:00 - 22:30
22:00 라스트오더",,,,,,,35.1539316,128.1117935
브레드33,베이커리,경남 진주시 진주역로73번길 33 상가동 118호,,0507-1444-3373,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220114_62%2F1642149929708Oud1w_JPEG%2F2022-01-14-17-44-52-370.jpg,월정기휴무 (매주 월요일),화07:00 - 22:00,수07:00 - 22:00,목07:00 - 22:00,금07:00 - 22:00,토07:00 - 22:00,일정기휴무 (매주 일요일),35.1539316,128.1117935
해쉬커피 진주센트럴웰가점,"카페,디저트",경남 진주시 진주역로73번길 33 상가동 115호,,0507-2087-0224,http://www.hashcoffee.co.kr,"포장, 배달, 무선 인터넷, 단체 이용 가능, 예약, 대기공간, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240423_124%2F1713833174902BfYD2_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6_%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg,월(3/3)대체공휴일(삼일절)08:00 - 21:00,"화07:00 - 22:00
21:30 라스트오더","수07:00 - 22:00
21:30 라스트오더","목07:00 - 22:00
21:30 라스트오더","금07:00 - 22:00
21:30 라스트오더","토08:00 - 21:00
20:30 라스트오더","일08:00 - 21:00
20:30 라스트오더",35.1539316,128.1117935
수유리우동집 진주역점,"우동,소바",경남 진주시 개양로 100,,,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDExMDFfMTY3%2FMDAxNzMwNDQ3NDEwNjA4.Pxnb5eCA7NMpJKCv52uxTpph08dhpIHgMl2Hvbxz9F0g.GZYUBP35KwhTNAn2Ii7T8KxxgyY1MdUKsXEBkqDG6zkg.JPEG%2FIMG_8452.jpeg%3Ftype%3Dw1500_60_sharpen,월10:00 - 21:00,화정기휴무 (매주 화요일),수10:00 - 21:00,목10:00 - 21:00,금10:00 - 21:00,토10:00 - 21:00,일10:00 - 21:00,35.1543917,128.1166482
불막열삼 신진주시티가좌점,"곱창,막창,양",경남 진주시 개양로 100 시티프라디움1차아파트 101동1층상가 불막열삼,"찾아가는길잡내없는 막창과 두툼한 삼겹살로 인정받은 진주 가좌동 핫플, 불막열삼 신진주시티가좌점에 오시는 길을 안내합니다 ^^ 자차로 찾아오실 때에는 네비게이션에 불막열삼 신진주시티가좌점 혹은 신진주시티가좌점을 입력하시거나, 진주시 개양로 100 입력 후 진주 스카이시...내용 더보기",0507-1390-7807,https://blog.naver.com/nambul79,"무선 인터넷, 포장, 예약, 남/녀 화장실 구분, 단체 이용 가능, 배달, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241219_231%2F1734586991882gEFvM_JPEG%2F2411_%25BB%25F3%25C2%25F7%25B8%25B2_%25281%2529.jpg,월(3/3)대체공휴일(삼일절) 휴무,화16:30 - 22:00,수16:30 - 22:00,목16:30 - 22:00,금16:30 - 22:00,토16:30 - 22:00,일16:30 - 22:00,35.1537085,128.1162331
요거트아이스크림의정석 신진주역점,아이스크림,경남 진주시 개양로 100 상가동 107동 107호,찾아가는길107동 GS편의점 옆에 위치해있습니다.,0507-1436-3413,,"포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240213_78%2F1707833696552dBViN_JPEG%2F20231221_135623.jpg,"월12:00 - 24:00
15:00 - 16:00 브레이크타임",화정기휴무 (매주 화요일),"수12:00 - 24:00
15:00 - 16:00 브레이크타임","목12:00 - 24:00
15:00 - 16:00 브레이크타임","금12:00 - 24:00
15:00 - 16:00 브레이크타임","토12:00 - 24:00
15:00 - 16:00 브레이크타임","일12:00 - 24:00
15:00 - 16:00 브레이크타임",35.1543917,128.1166482
동네커피 신진주역점,"카페,디저트",경남 진주시 개양로 100 시티프라디움상가 107동 113호,찾아가는길시티프라디움 1차 상가,,,"포장, 배달, 무선 인터넷, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220807_198%2F1659861276339pAERj_JPEG%2Fimage.jpg,"월08:00 - 20:00
19:30 라스트오더","화08:00 - 20:00
19:30 라스트오더","수08:00 - 20:00
19:30 라스트오더","목08:00 - 20:00
19:30 라스트오더","금08:00 - 20:00
19:30 라스트오더","토09:00 - 18:00
17:30 라스트오더","일09:00 - 18:00
17:30 라스트오더",35.1543917,128.1166482
동백카츠 진주역점,돈가스,경남 진주시 개양로 100 107동 120호,찾아가는길신진주역 앞 사거리 농협 바로 옆입니다:) 주차장 안내 상가 뒷편 시티프라디움 1차 주차장으로 들어 오시면 별도 상가 주차장 입구가 있습니다. (식사 후 차량번호 말씀 해주시면 1시간 무료)내용 더보기,055-761-2500,,"무선 인터넷, 남/녀 화장실 구분, 유아의자, 포장, 배달, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240408_52%2F17125647572166mYcQ_JPEG%2FGOM06391.JPG,"월11:00 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더","화11:00 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더","수11:00 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더","목11:00 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더","금11:00 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더","토11:00 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더","일11:00 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더",35.1543917,128.1166482
솔밭샤브 진주역점,샤브샤브,경남 진주시 개양로 100 상가 107동 1층 121호,"찾아가는길진주역 도보로 11분 거리에 위치해 있으며 빽다방, 파리바게뜨, 농협 등 많은 브랜드들이 입점해 있습니다. 스카이시티 프라디움 건물 내에 있으며 주차 안내는 추후 상세히 기재해 놓겠습니다.!내용 더보기",0507-1343-3092,,"단체 이용 가능, 무선 인터넷, 유아의자, 남/녀 화장실 구분, 간편결제",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241213_294%2F1734072306058zKxNf_JPEG%2FKakaoTalk_20241211_104412918_06.jpg,"월11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더","화11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더","수11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더","목11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더","금11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더","토11:00 - 22:00
21:00 라스트오더","일11:00 - 22:00
21:00 라스트오더",35.1543917,128.1166482
인쌩맥주 진주역점,"맥주,호프",경남 진주시 개양로 100 스카이시티프라디움 상가 107동 1층 115호,,0507-1369-9940,,"주차, 단체 이용 가능, 남/녀 화장실 구분, 예약, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221130_139%2F1669796706667y0XTW_JPEG%2F1669792225719-0.jpg,월18:30 - 00:30,화18:30 - 00:30,수18:30 - 00:30,목18:30 - 00:30,금18:30 - 00:30,토18:30 - 00:30,일정기휴무 (매주 일요일),35.1543917,128.1166482
합천왕창국밥&왕창한우,"육류,고기요리",경남 진주시 개양로 100 상가 106동 104호,"찾아가는길신진주역앞 이마트에브리데이 맞은편, 하삼동커피 바로 옆에 있습니다!! 찾는데 어려우시면 055-759-0292로 연락주세요! 감사합니다내용 더보기",,,"단체 이용 가능, 포장, 예약, 남/녀 화장실 구분, 유아의자, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240529_232%2F1716986875848LY9pr_JPEG%2F%25C7%25D5%25C3%25B5%25BB%25E7%25C1%25F81.jpg,월정기휴무 (매주 월요일),화정기휴무 (매주 화요일),수정기휴무 (매주 수요일),목정기휴무 (매주 목요일),금정기휴무 (매주 금요일),토정기휴무 (매주 토요일),일11:00 - 01:00,35.1543917,128.1166482
역전할머니맥주 진주역점,"맥주,호프",경남 진주시 개양로 100 상가 106동 1층 106호,,0507-1467-5802,http://yukjunfnc.kr/,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230130_113%2F1675065389081SqCP3_JPEG%2F%25C1%25F8%25C1%25D6%25BF%25AA%25C1%25A1.jpg,매일18:00 - 02:00,,,,,,,35.1543917,128.1166482
안주가 진주역점,요리주점,경남 진주시 개양로 100 1차 106동 105호,찾아가는길신진주역 근처 시티프라디움1차 상가107동옆 대로변 라인에 위치해 있습니다.,0507-1340-3716,https://www.anjooga.com,"포장, 예약, 유아의자, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241217_148%2F1734424839245q0wHK_JPEG%2FIMG_5600.jpeg,"월17:00 - 01:00
00:00 라스트오더","화17:00 - 01:00
00:00 라스트오더","수17:00 - 01:00
00:00 라스트오더","목17:00 - 01:00
00:00 라스트오더","금17:00 - 02:00
01:00 라스트오더","토17:00 - 02:00
01:00 라스트오더","일17:00 - 01:00
00:00 라스트오더",35.1543917,128.1166482
스마트띠아모 시티점,카페,경남 진주시 개양로 100 106동 106호,,,,"주차, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210706_179%2F1625546676278QkhF8_JPEG%2FO0vJt9JljvQhhe2DGBNR5VqS.jpg,매일00:00 - 24:00,,,,,,,35.1543917,128.1166482
가마솥옛날시골통닭&호프신진주역점,"치킨,닭강정",경남 진주시 개양로 100 시티프라디움1차상가 106동 108호,,055-752-8292,,"주차, 배달, 포장, 남/녀 화장실 구분, 무선 인터넷, 단체 이용 가능, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220701_123%2F1656650043049ybukC_JPEG%2F%25B0%25A1%25B0%25D4%25BF%25DC%25BA%25CE_%25282%2529.jpg,월17:00 - 24:00,화17:00 - 24:00,수17:00 - 24:00,목17:00 - 24:00,금17:00 - 24:00,토정기휴무 (매주 토요일),일정기휴무 (매주 일요일),35.1537085,128.1162331
데이원무인카페 진주역점,"카페,디저트",경남 진주시 개양로 100 106동 1층 109호,,0507-1358-7934,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211015_24%2F1634305364223gidtv_JPEG%2FKMAKSZAjj0erVgtR8zedUSrS.jpg,,,,,,,,35.1543917,128.1166482
호계,한식,경남 진주시 개양로 100 상가 105동 1층 108호,찾아가는길신진주역 시티1차 상가 간이역 옆집 입니다내용 더보기,0507-1487-9024,https://www.instagram.com/hogye_jinju,"주차, 남/녀 화장실 구분, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231219_168%2F17029891372069LiAg_JPEG%2F5292A9A6-80CA-4A08-BA42-81011EB2B3B6.jpeg,월17:00 - 24:00,화17:00 - 24:00,수17:00 - 24:00,목17:00 - 24:00,금17:00 - 24:00,토17:00 - 24:00,일정기휴무 (매주 일요일),35.1543917,128.1166482
진주역포차,한식,경남 진주시 개양로 100 상가 105동 107호,찾아가는길상가 주차장 주차가능(나가실때 차량등록) 8시 이후로 갓길 주차가능 합니다!내용 더보기,0507-1332-3244,https://www.instagram.com/_jang_s__,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240514_57%2F17156504866661IoKV_JPEG%2FACC9881D-BE6C-4989-8975-E854FA13DF87.jpeg,,,,,,,,35.1543917,128.1166482
할매충무김밥,분식,경남 진주시 개양로 100 105동 108호,,0507-1426-5922,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210618_68%2F1624017169453TTqNK_JPEG%2FzoAB7U3PFUQFsTzgAB-7klD4.jpg,,,,,,,,35.1543917,128.1166482
간이역 신진주역점,요리주점,경남 진주시 개양로 100 시티프라디움 1차 105동 109호,찾아가는길줌 오피스텔 건너편 대로변에 있습니다.,0507-1329-4607,https://www.instagram.com/ganiyeok_sinjinju,"주차, 포장, 단체 이용 가능, 무선 인터넷, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220812_161%2F16602855373375U0b3_JPEG%2FD27ED480-2253-4465-95B1-8ECC3603F1E6.jpeg,월17:00 - 03:00,화17:00 - 03:00,수17:00 - 03:00,목17:00 - 03:00,금17:00 - 04:00,토17:00 - 04:00,"일(3/9)정기휴무 (격주 일요일)
격주 일요일 정기 휴무",35.1537085,128.1162331
노가네충무김밥 신진주역점,분식,경남 진주시 개양로 100 104동 104호,"찾아가는길스카이시티프라디움 104동 큰대로변에 위치하고 있으며, 호탄동 방향에서 신진주역가는 방향에 있습니다. 가게앞 대로변 10분 주.정차 가능합니다.",0507-1433-3934,,"주차, 포장, 배달, 예약, 방문접수/출장, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230510_251%2F1683716262319XPalu_JPEG%2FIMG_7294.jpeg,"월10:00 - 20:00
19:50 라스트오더","화10:00 - 20:00
19:50 라스트오더","수10:00 - 20:00
19:50 라스트오더","목10:00 - 20:00
19:50 라스트오더","금10:00 - 20:00
19:50 라스트오더","토10:00 - 20:00
19:50 라스트오더","일10:00 - 20:00
19:50 라스트오더",35.1543917,128.1166482
백번집,"육류,고기요리",경남 진주시 개양로 100 상가 104동 1층 106호,,0507-1349-9213,,"단체 이용 가능, 주차, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230310_264%2F167844805092854qwB_JPEG%2F1678448032344.jpg,"월17:00 - 23:00
22:00 라스트오더","화17:00 - 23:00
22:00 라스트오더","수17:00 - 23:00
22:00 라스트오더","목17:00 - 23:00
22:00 라스트오더","금17:00 - 23:00
22:00 라스트오더","토17:00 - 23:00
22:00 라스트오더",일정기휴무 (매주 일요일),35.1543917,128.1166482
갓튀긴후라이드 가호점,"치킨,닭강정",경남 진주시 개양로 100 상가동 101동 107호,찾아가는길신진주 역세권 시티프라디움 1차 상가동 대로변에 위치하였습니다 ^_^,0507-1375-3367,,"포장, 배달, 단체 이용 가능, 예약, 유아의자, 대기공간, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240515_201%2F1715732083892HoHIc_JPEG%2F5D1FF2BC-9BA7-4AA2-BE83-C70D7471BAF7.jpeg,"매일11:00 - 00:30
00:10 라스트오더",,,,,,,35.1543917,128.1166482
7번가피자 신진주역점,피자,경남 진주시 개양로 100 상가동 107동 102호,찾아가는길진주시 개양로100 시티프라디움 1차 상가동107동102호.부안집옆으로 상가동주차장으로 들어오셔서 오른쪽대각선으로 보시면 됩니다.,055-752-3677,https://blog.naver.com/love7thpizza,"배달, 포장",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220408_214%2F1649388953293LPH1k_JPEG%2F1649388925970.jpg,월11:45 - 23:00,화11:45 - 23:00,수11:45 - 23:00,목11:45 - 23:00,금11:45 - 23:00,토11:45 - 23:00,일11:45 - 23:00,35.1543917,128.1166482
역전생갈비,한식,경남 진주시 개양로 100 상가 1층 101동 113호,,055-741-7731,,"예약, 무선 인터넷, 남/녀 화장실 구분, 유아의자, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MDhfODkg%2FMDAxNzIzMTE3OTc3Nzg3.ynmwLaa8JFPXqSTdPNUO2o9_dp5j1tmJmydnaOpa604g.3xwyWDiebZGeCZIiU-VEHExjCbvw9ffldpTIsRdOcMEg.JPEG%2F20240731_212145.jpg.jpg%3Ftype%3Dw1500_60_sharpen,월정기휴무 (매주 월요일),화17:00 - 23:00,수17:00 - 23:00,목17:00 - 23:00,금17:00 - 23:00,토17:00 - 23:00,일17:00 - 23:00,35.1543917,128.1166482
서퍼커피,카페,경남 진주시 개양로 100 상가동 107동 104호,,0507-1332-1853,https://smartstore.naver.com/bluewave0712,"무선 인터넷, 단체 이용 가능, 예약, 남/녀 화장실 구분, 포장, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240411_78%2F1712794196746XIUNr_JPEG%2F%25BC%25AD%25C6%25DB%25C0%25D4%25B1%25B8.jpg,"월11:00 - 17:00
13:00 - 14:00 브레이크타임","화09:00 - 17:00
13:00 - 14:00 브레이크타임","수09:00 - 17:00
13:00 - 14:00 브레이크타임","목09:00 - 17:00
13:00 - 14:00 브레이크타임",금09:00 - 13:00,토정기휴무 (매주 토요일),일정기휴무 (매주 일요일),35.1543917,128.1166482
맛있으면돼지,돼지고기구이,경남 진주시 개양로 100 상가동107동 1층 105호,찾아가는길아파트 107동 1층 상가에위치함,,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230810_295%2F1691649532320f2kHH_JPEG%2F16916494683608275267865251442855.jpg,월정기휴무 (매주 월요일),화16:00 - 22:00,수16:00 - 22:00,목16:00 - 22:00,금16:00 - 22:00,토16:00 - 22:00,일16:00 - 22:00,35.1543917,128.1166482
육칠이 가호점,한식,경남 진주시 개양로 100 107동 125호,,0507-1381-6720,,"배달, 포장, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240205_85%2F1707120984691d7Ghh_JPEG%2FKakaoTalk_20240205_132252955.jpg,매일11:00 - 24:00,,,,,,,35.1543917,128.1166482
꽃섬쌈밥,쌈밥,경남 진주시 개양로 100,,,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211227_71%2F164060147957656z1H_JPEG%2FVGipTBbtmhqPVBVj0r3APFLW.jpeg.jpg,,,,,,,,35.1543917,128.1166482
지코바치킨 신진주역점,"치킨,닭강정",경남 진주시 개양로 100 102동 101호,,0507-1416-1413,http://www.gcova.co.kr/,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231228_264%2F1703775594290iR1DS_JPEG%2F20230826_134749.jpg,,,,,,,,35.1543917,128.1166482
맘스터치 피자앤치킨 진주역점,피자,경남 진주시 개양로 112 1층 102호,,0507-1379-7382,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231212_185%2F1702346715458VdFXl_JPEG%2FBI%25B7%25CE%25B0%25ED%2528%25C7%25C7%25C4%25A1%2529.jpg,,,,,,,,35.1544848,128.1182591
요브코,브런치카페,경남 진주시 개양로 114 208호,"찾아가는길지하1층주차장을 이용하거나, cu건너편 공용주차장에 주차하시고 cu왼편으로 들어오셔서 계단을 이용해서 2층으로 올라가거나 상가입구 엘리베이터를 이용하시면 됩니다.내용 더보기",0507-1383-7632,,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241114_109%2F1731511243657bGk5v_JPEG%2FIMG_2991.jpeg,"매일10:00 - 21:00
16:00 - 17:30 브레이크타임",,,,,,,35.1542585,128.1186402
카페 가가,"카페,디저트",경남 진주시 개양로 114 줌시티 2층 208호,찾아가는길※도보시 줌시티에 들어오시면 입주민용 출입구 옆에 상가 출입구가 있습니다.  출입구로 들어오셔서 엘리베이터를 이용하시거나 출입구로 들어오지 않고 줌시티 본관 계단으로 올라오셔도 됩니다. ※지하주차장을 이용하실 경우 줌시티 지하 1층 주차장은 상가 전용 주차장...내용 더보기,0507-1333-0855,,"포장, 무선 인터넷, 남/녀 화장실 구분, 주차, 반려동물 동반",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210118_88%2F1610971474533KXjOK_JPEG%2FLodTcIn2V5einziCSBDsNhoj.jpg,,,,,,,,35.1542585,128.1186402
소오원 진주본점,"육류,고기요리",경남 진주시 개양로119번길 5-8 1층 소오원,"찾아가는길줌시티 오피스텔 맞은편 이며, 하이드 파크에서 좌측으로 오시면 볼 수 있습니다! 혹시나 길이 어려우시면 055-761-5251 으로 연락부탁드립니다!",0507-1325-5205,,주차,https://search.pstatic.net/common/?src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240809_246%2F1723146590490sEbHh_JPEG%2FIMG_9458.jpg,월정기휴무 (매주 월요일),"화17:00 - 23:00
21:30 라스트오더","수17:00 - 23:00
21:30 라스트오더","목17:00 - 23:00
21:30 라스트오더","금17:00 - 23:00
21:30 라스트오더","토17:00 - 23:00
21:30 라스트오더","일17:00 - 23:00
21:30 라스트오더",35.15449,128.1197992
용팔이밀면,국수,경남 진주시 개양로119번길 5-1 1층 용팔이밀면,,055-752-0759,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220203_147%2F1643859349330lME5l_JPEG%2F20211121_210016.jpg,"매일10:00 - 21:00
15:00 - 17:00 브레이크타임
16:00 - 17:00 브레이크타임",,,,,,,35.15449,128.1197992
하이드파크,"카페,디저트",경남 진주시 개양로119번길 6 1층,,055-752-3160,https://www.instagram.com/hidepark_cafe,"주차, 단체 이용 가능, 남/녀 화장실 구분, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230524_24%2F1684908618567184qL_JPEG%2F20221203_174056.jpg,"월10:00 - 21:30
21:00 라스트오더","화10:00 - 21:30
21:00 라스트오더","수10:00 - 21:30
21:00 라스트오더","목10:00 - 21:30
21:00 라스트오더","금10:00 - 21:30
21:00 라스트오더","토10:00 - 21:30
21:00 라스트오더","일10:00 - 21:30
21:00 라스트오더",35.1541544,128.1196419
정촌쌈김치찌개 2호점,"찌개,전골",경남 진주시 개양로119번길 8-6 1층,,0507-1444-3070,,"포장, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231012_122%2F16970740729392W2M8_JPEG%2F1697073058532.jpg,"월11:00 - 21:30
15:00 - 17:00 브레이크타임","화11:00 - 21:30
15:00 - 17:00 브레이크타임","수11:00 - 21:30
15:00 - 17:00 브레이크타임","목11:00 - 21:30
15:00 - 17:00 브레이크타임","금11:00 - 21:30
15:00 - 17:00 브레이크타임","토11:00 - 21:30
15:00 - 17:00 브레이크타임",일정기휴무 (매주 일요일),35.1543222,128.1197206
청춘밥상,한식,경남 진주시 개양로 120-16 101호 청춘밥상,찾아가는길신진주역 가기전 이마트24 왼쪽 시티프라디움 맞은편에 있습니다,055-757-5449,,"주차, 포장, 예약, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221127_6%2F16695547526687V4zP_JPEG%2F1669201543999.jpg,"매일11:00 - 21:30
15:00 - 17:00 브레이크타임
20:30 라스트오더",,,,,,,35.1530673,128.1185368
웃어보이소,한식,경남 진주시 개양로 120-16 1층 104호,찾아가는길신진주역 근처 SKY시티 프라디움 아파트 맞은편입니다.,0507-1432-7770,,"단체 이용 가능, 포장, 예약, 남/녀 화장실 구분, 배달, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221208_24%2F1670478413853t2MaW_JPEG%2F%25C6%25AF%25BC%25F6%25B8%25F0%25B5%25EB.jpg,"월(3/3)대체공휴일(삼일절)11:00 - 22:00
15:00 - 17:00 브레이크타임","화11:00 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더","수11:00 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더","목11:00 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더","금11:00 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더","토11:00 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더","일11:00 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더",35.1530673,128.1185368
메가MGC커피 진주가좌점,카페,경남 진주시 가좌동 2067-3,,0507-1338-0927,,포장,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDEyMzBfMjgw%2FMDAxNzM1NDg1OTE2MDgx.MbBBF2U4JMz2onxWFL0tk64vbMt6tvhXBWD7c6Xj26kg.DENZhtoVwOcboGrnUbRc0_LHodb9u4G4pqOZwdIbML8g.JPEG%2F5236324D-FAE7-42CE-8B76-F997142C78CA.jpeg%3Ftype%3Dw1500_60_sharpen,월09:00 - 21:00,화09:00 - 21:00,수09:00 - 21:00,목09:00 - 21:00,금09:00 - 21:00,토09:00 - 21:00,"일(3/9)정기휴무 (매달 2, 4번째 일요일)",35.1528905,128.1174318
리멤버,라이브카페,경남 진주시 관문로 4 3층 302호,찾아가는길신진주역 맞은편 이디야 커피숍 3층 302호입니다!,0507-1353-4311,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230530_109%2F1685373927182JP2Gb_JPEG%2FKakaoTalk_20230530_002456298.jpg,,,,,,,,35.152374,128.1172373
이디야커피 신진주역점,카페,경남 진주시 관문로 4,,0507-1495-2232,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEwMDlfMTAw%2FMDAxNzI4NDYzNjYxNzQ2.5CijlQYGKhm2PWPj32WFXSkcbc5G6lb1BHuliGVG5VMg.9rs1A4EyfIiIXSNefBxqx7csbShTY_q9INKybywHrh8g.JPEG%2F20241009%25A3%25DF172547.jpg,매일08:00 - 23:00,,,,,,,35.152374,128.1172373
